lapply, boucle
sapply, liste
tapply, regroupement
aggregate, résumé
dplyr, filtrer
rename, colonnes
select, colonnes
arrange, trier
mutate, colonnes
merge, data frame
rbind, cbind
group_by, summarise
left_join, tables
summarise, statistiques
lubridate, dates
as.numeric, conversion
na.omit, NA
unique, filtre
sample, échantillonnage
subset, sous-ensemble
pivot_longer, réorganiser
pivot_wider, transformation
paste, chaînes
table, fréquence
ggplot2, graphique
ggplot2, couleurs
ggplot2, labels
ggplot2, barres
ggplot2, histogramme
ggplot2, boxplot
ggplot2, nuage
ggplot2, régression
ggplot2, faceting
ggsave, exporter
ggplot2, densité
ggplot2, superposition
axes, ggplot2
themes, ggplot2
ggplotly, interactif
fonction, R
arguments, défaut
return, fonction
for, boucle
ifelse, condition
switch, condition
if, else
vectorisation, performance
purrr, map
furrr, parallèle
closures, fonction
tryCatch, erreurs
microbenchmark, optimisation
CSV, lecture
Excel, lecture
CSV, écriture
JSON, lecture
readr, lecture
Excel, écriture
texte, lecture
file.path, chemin
list.files, répertoire
rename, fichier
unlink, fichier
lm, régression
summary, modèle
matrice, confusion
predict, prédiction
glm, logistique
resid, résidus
caret, performance
validation, caret
randomForest, arbres
glmnet, classification
cor, corrélation
lme4, modèles mixtes
confint, intervalles
stepAIC, sélection
nls, non linéaire
templates, R Markdown
R Markdown, CSS
stringr, chaînes
glue, chaînes
Vectorize, calculs
apply, matrices
runif, aléatoire
system.time, efficacité
DBI, SQL
install.packages, packages
roxygen2, documentation
testthat, tests
pak, dépendances
forcats, factors
listes, programmation fonctionnelle
dates, temps
